family_id,family_status,family_key,owner_signature_sha256,module_count,member_count,callsite_count,pokitaru_callsite_count,ryllus_callsite_count,focus_callsite_count,module_indices,levels,present_in_pokitaru,present_in_ryllus,pokitaru_ryllus_scope,full_function_hash_variants,function_size_variants,static_domain_hypotheses,domain_evidence,evidence_strength,exact_object_descriptors,object_ancestors_depth_le_3,symbolic_names,source_paths,same_function_patch_layers,same_function_patch_mechanics,profiling_priority,safe_initial_policy,test_recipe,static_limit
WF-036,confirmed,SIG-818087FD4602,818087fd46029ca2bd2243b5550e6d671e05173645c8e095d6ca7f1d67ce1dde,1,1,3,3,0,3,1,Pokitaru,yes,no,Pokitaru,1,5124,Objets mobiles et mécanismes,mots-clés boat,forte,Level01Boat,Level01Boat@0,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-037,confirmed,SIG-8C9A2DABED0E,8c9a2dabed0ee86e5c778f78774f6009de1bc6a722c9199b194845f080dd8066,1,1,3,0,3,3,2,Ryllus,no,yes,Ryllus,1,2720,Objets mobiles et mécanismes,"mots-clés bridge, expandable",forte,Level02ExpandableBridge,Level02ExpandableBridge@0,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-038,confirmed,SIG-44B7277B3CB1,44b7277b3cb1b90bb38928c2373215bc6413cdfce1d31d151f5bf2ca21689b17,1,1,2,0,0,0,8,Dayni Moon,no,no,hors focus,1,1268,Ennemis et acteurs,mots-clés boss,moyenne,,LunaBoss@2,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-039,confirmed,SIG-47A07056845B,47a07056845b319021baf2d27ae7077582d0e12aab04b91820f7051b3573b54f,1,1,2,0,0,0,7,Challax,no,no,hors focus,1,3956,Objets mobiles et mécanismes,mots-clés dropship,moyenne,,DropshipC@1,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-040,confirmed,SIG-58F2BD5FFBF9,58f2bd5ffbf92ac1ca556acd08584b07135c2160af2270bff3e09b8ff74d1da8,1,1,2,0,0,0,8,Dayni Moon,no,no,hors focus,1,876,Ennemis et acteurs,mots-clés boss,moyenne,,LunaBoss@1,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-041,confirmed,SIG-EA3F82224684,ea3f82224684c190e1fff1449ff1e0cfc19ec2402c146c9ec00d7a22ff3363c3,1,1,2,0,0,0,8,Dayni Moon,no,no,hors focus,1,1516,Objets mobiles et mécanismes,mots-clés door,forte,Level08Door,Level08Door@0,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-042,confirmed,SIG-0545985B21E1,0545985b21e1f620c1938196351aed7a3c1a3a219a57d83a6413541f8e0a3caf,1,1,1,0,0,0,7,Challax,no,no,hors focus,1,1740,Objets mobiles et mécanismes,mots-clés dropship,moyenne,,DropshipC@1,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-043,confirmed,SIG-0CC3FCC022B3,0cc3fcc022b39f3cc2f826294ce473579c61d7f28afeefb85368be5b2f12587e,1,1,1,0,1,1,2,Ryllus,no,yes,Ryllus,1,944,Armes et dégâts,mots-clés dart,moyenne,,Dart@1,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Mesurer cadence, consommation de munitions et dégâts sur une cible stable ; pour les effets continus, mesurer aussi les ticks et la durée résiduelle.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-044,recovered,SIG-20D6C6DC8021,20d6c6dc8021189eab580813fd65191e905d12e859c653f6b1d4ec833d88277e,1,1,1,0,0,0,3,Kalidon,no,no,hors focus,1,10760,Objets mobiles et mécanismes,mots-clés platform,forte,Lvl3Platform,Lvl3Platform@0,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-045,confirmed,SIG-29B75DA10856,29b75da10856def5ee975f63890eeac707d56562cf40b4416bd804588547d6dc,1,1,1,0,0,0,7,Challax,no,no,hors focus,1,2140,Objets mobiles et mécanismes,mots-clés dropship,moyenne,,DropshipC@1,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-046,confirmed,SIG-448072F739C6,448072f739c6b34ee54987ad1871ea1a0067a34deb6e2ba4151ecd6e78818177,1,1,1,1,0,1,1,Pokitaru,yes,no,Pokitaru,1,632,Objets mobiles et mécanismes,mots-clés door,forte,Level01DoorTarget,Level01DoorTarget@0,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-047,confirmed,SIG-44F7AE0C83F5,44f7ae0c83f5f9bdb9819d182c8b3cb4b7b3a66e015bd9bdc936483b2accdddf,1,1,1,1,0,1,1,Pokitaru,yes,no,Pokitaru,1,164,Objets mobiles et mécanismes,mots-clés dropship,moyenne,,DropshipB@2,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-048,confirmed,SIG-48C352450453,48c3524504537787da8776a92574bfc8ec9a075d454b983643cc737acfb93d30,1,1,1,0,0,0,5,Dreamtime,no,no,hors focus,1,736,Objet de niveau identifié — rôle à tester,descripteur exact sans rôle gameplay déductible du nom,forte,Lvl05Berry,Lvl05Berry@0,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Observer d’abord l’objet sans interaction, puis déclencher une seule action ; mesurer mouvement, durée, collisions et état final avant de choisir une politique.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-049,confirmed,SIG-52B17118958F,52b17118958fe65bcd4a650bf54b20448b1b6fb3b00f902fa42465222b9ed269,1,1,1,0,0,0,7,Challax,no,no,hors focus,1,1188,Objets mobiles et mécanismes,mots-clés platform,forte,Lvl07Platform,Lvl07Platform@0,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-050,confirmed,SIG-543663C4F67A,543663c4f67a7b1458895453dc1287f2b1a80a65373c0c291eb5cfe71ab20f10,1,1,1,0,0,0,5,Dreamtime,no,no,hors focus,1,844,Ennemis et acteurs,mots-clés flyinghypo,moyenne,,FlyingHypo@1,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-051,confirmed,SIG-5D1AC536F4F8,5d1ac536f4f8c454e0a422603b5c31e7772d4571e0ca99b4f210e8aab7aaa475,1,1,1,1,0,1,1,Pokitaru,yes,no,Pokitaru,1,1928,Ennemis et acteurs,mots-clés butterfly,forte,Butterfly,Butterfly@0,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-052,confirmed,SIG-676360BA37E8,676360ba37e8ae2da7c3a64676d1caab0c2d7184f881c4078e1dd5e576bb1f07,1,1,1,0,0,0,7,Challax,no,no,hors focus,1,3144,Objet de niveau identifié — rôle à tester,descripteur exact sans rôle gameplay déductible du nom,forte,Lvl07EleGlass,Lvl07EleGlass@0,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Observer d’abord l’objet sans interaction, puis déclencher une seule action ; mesurer mouvement, durée, collisions et état final avant de choisir une politique.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-053,confirmed,SIG-683068B7AE4D,683068b7ae4dec808f708a88f7afdb08b5cb4d9eaf0cbd57bce3ad8887c75832,1,1,1,0,1,1,2,Ryllus,no,yes,Ryllus,1,824,Objets mobiles et mécanismes,mots-clés movedobject,forte,MovedObject,MovedObject@0,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-054,confirmed,SIG-6CB1CBC16E85,6cb1cbc16e85f6bf9016760d852f70e5fc8b146116cd03cd6b4218291b2f1db9,1,1,1,0,0,0,8,Dayni Moon,no,no,hors focus,1,860,Ennemis et acteurs,mots-clés boss,moyenne,,LunaBoss@2,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-055,confirmed,SIG-B40E7B1541EE,b40e7b1541eefa240141d102f0a04e7209f1266b3b63f4d479c44bd5e1927de5,1,1,1,0,1,1,2,Ryllus,no,yes,Ryllus,1,748,Objets mobiles et mécanismes,mots-clés column,moyenne,,Level02Column@1,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-056,confirmed,SIG-B78973EEA2DB,b78973eea2db01817d93c7539546d186135abd26640f3a89700ba1a705c375ca,1,1,1,0,0,0,5,Dreamtime,no,no,hors focus,1,2248,Objets mobiles et mécanismes,mots-clés boat,forte,Lvl05Boat,Lvl05Boat@0,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-057,confirmed,SIG-C0FFC4E653D8,c0ffc4e653d8c76f01330bccf80a7737e135d62765deee198206dba261af0bee,1,1,1,0,1,1,2,Ryllus,no,yes,Ryllus,1,728,Objets mobiles et mécanismes,mots-clés boulder,moyenne,,Boulder@1,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-058,confirmed,SIG-D3BD08BB3703,d3bd08bb3703acb919775ecd19683fbc9203a3192fa4d6baddfaeb3b6acd6a7b,1,1,1,0,0,0,3,Kalidon,no,no,hors focus,1,5416,Ennemis et acteurs,mots-clés mungo,forte,MungoDrone,MungoDrone@0,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-059,confirmed,SIG-E50E32E71173,e50e32e7117369f2524e1da89ff0e22c09d3f12a2ad4d55284c91af63497f884,1,1,1,0,0,0,10,Quadrona,no,no,hors focus,1,996,Armes et dégâts; Joueur et locomotion,mots-clés blaster; mots-clés ratchet,moyenne,,RatchetCloneBlaster@1; OttoGiant@2,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Mesurer cadence, consommation de munitions et dégâts sur une cible stable ; pour les effets continus, mesurer aussi les ticks et la durée résiduelle.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
